Site,Control System,Unit,Application Type,Application Instance,Points
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Physical DO,1.3 WATER HTR,INPUT
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Physical DO,1.3 WATER HTR,INPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical DO,1.3 WATER HTR,INPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Physical DO,1.4 OUTDR LTS,INPUT
"01264 JAMAICA PLAIN,MA",Control System,CX-300 1: CVS 01264,Physical DO,1.4 OUTDR LTS,INPUT
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Physical DO,1.4 OUTDR LTS,INPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical DO,1.4 OUTDR LTS,INPUT
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Physical DO,1.4 OUTDR LTS,INPUT
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Physical DO,1.4 OUTDR LTS,INPUT
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Physical DO,1.4 OUTDR LTS,INPUT
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Physical DO,1.4 OUTDR LTS,INPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical DO,1.4 OUTDR LTS,INPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical DO,1.5 ACCNT LTS,INPUT
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Physical DO,1.5 ACCNT LTS,INPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical DO,1.6 OUTSD SGN,INPUT
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Physical DO,1.6 OUTSD SGN,INPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical DO,1.7 WALL PAKS,INPUT
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Physical DO,1.7 WALL PAKS,INPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Physical DO,1.8 100%PHARM,INPUT
"01264 JAMAICA PLAIN,MA",Control System,CX-300 1: CVS 01264,Physical DO,1.8 100%PHARM,INPUT
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Physical DO,1.8 100%PHARM,INPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical DO,1.8 100%PHARM,INPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Lighting Control,ACCENT LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Lighting Control,ACCENT LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"00003 TABERNACLE,NJ",Control System,CX-300 1: CVS 00003,Sensor Control DV,ALARM DEFEAT,COMMAND OUT
"01261 WINTER PARK,FL",Control System,CX-300 1: CVS 01261,Sensor Control DV,ALARM DEFEAT,COMMAND OUT
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Sensor Control DV,ALARM DEFEAT,"COMMAND OUT, LOGIC IN1"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Sensor Control DV,ALARM DEFEAT,COMMAND OUT
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Sensor Control DV,ALARM DEFEAT,"COMMAND OUT, LOGIC IN1"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Sensor Control DV,ALARM DEFEAT,"COMMAND OUT, LOGIC IN1"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Lighting Control,EMPLOYEE LTS,"ACTIVE SCHED, ALL LIGHTS ON, BYPASS ON, IN BYPASS, LIGHTS OUTPUT"
